2-8,4-9,0-9,4-6,4-11,5-8,0-2,0-11,2-4,0-12,1-2,7-9,8-9,5-9,11-12,0-3,1-12,6-7,8-10,6-8,1-4,4-5,5-6,6-9,9-10,0-4,7-8,6-10,1-11,1-3,3-4,7-10,2-3,0-1
3.637978807091713e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,373.2786050632312,-1.8189894035458565e-12,-1.8189894035458565e-12,214.78083685972888,149.7679074091502,547.4116001138464,-3.637978807091713e-12,397.5068126504484,793.6902496860621,189.9103115046164,579.4052095568331,255.8078360001109,1446.255097419762,808.953195915552,1433.1225860290688,1673.164104401896,794.1778279038663,1371.7508887474141,1496.8632095859102,1471.0743083100715,1568.1277026559583,1786.8538635971381,2172.4822821635626,2035.469579582983,1980.505621084596,1842.1936825988214,2466.992036248743,2737.461133701061,3059.3293448684126,4594.755323396988
1.8189894035458565e-12,-7.275957614183426e-12,-5.4569682106375694e-12,-3.637978807091713e-12,0.0,3.637978807091713e-12,-1.8189894035458565e-12,114.01579638924886,-3.637978807091713e-12,607.2826392561983,401.4283717961989,198.9708832790384,723.8686875672847,486.29315863949705,1400.0925672325793,1023.4602253076882,1193.0989208177816,1488.1163569574182,598.5262335969837,1016.8965146234004,1261.82023927127,1424.0557412815433,1705.5394413527247,1747.2984754628233,1499.8281780301386,2297.8048181555714,2055.119349158991,1904.094456286657,2164.771063344524,2109.6270996836993,2165.114963674372,2018.7940590237358,3182.6233076056487,4396.148254442605
9.094947017729282e-12,-3.637978807091713e-12,5.4569682106375694e-12,-3.637978807091713e-12,7.275957614183426e-12,-3.637978807091713e-12,5.4569682106375694e-12,279.9413341580839,385.2671923700909,508.8698595836686,188.38456501478686,146.82926220880108,264.41090949786303,1196.3405512773825,1182.9371934751834,961.858836099198,302.4876461852364,908.4718053093802,1169.0162078502217,896.4094555170523,1272.031425996487,1311.812194792743,1480.7245323706884,1676.7986795579345,1642.177535308625,2308.375973159793,2171.271262750821,2044.2491369581676,2474.434349693356,2578.717857208014,1906.113690307262,1914.8796705522582,3122.6946414330396,4643.884944383557
-7.275957614183426e-12,0.0,-1.8189894035458565e-12,-3.637978807091713e-12,3.637978807091713e-12,1.8189894035458565e-12,3.637978807091713e-12,78.13005401697592,-1.8189894035458565e-11,-7.275957614183426e-12,183.7899635434933,627.0989261660361,636.2354093588692,744.8674802293426,1468.3069639665719,386.25055264088405,1706.888115292808,1530.5980564632973,1827.1214482357555,1015.6088816282154,1432.833168160163,1315.2139981565506,1581.9168268994636,1707.693208252027,1695.9585169710135,1370.6568632352537,2374.1395991705904,1697.4051217324013,2329.7474736660533,1870.089400390816,2650.545406814472,2435.9705240910152,2803.9649778129788,4773.993813000541
-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,-1.0913936421275139e-11,3.637978807091713e-12,-1.8189894035458565e-12,306.05813354586644,12.8857022287375,415.53041162486625,0.0,523.8223283185635,814.5359951411247,535.1058392282303,848.4860524478136,483.13009857005636,1076.6500865496528,-3.637978807091713e-12,1298.117273816977,1021.8364789252646,847.8492846925037,1443.9009335498522,868.4080717402212,1148.9952732623278,1717.5031613198953,1468.7839964807717,2152.9587955422903,1711.13256066151,2309.3920309495406,2164.4423490263016,2100.464171200887,2462.989704498359,1245.977101259552,2714.973490270215,4743.867795559141
-7.275957614183426e-12,-7.275957614183426e-12,1.8189894035458565e-12,7.275957614183426e-12,0.0,-3.637978807091713e-12,556.6433457894582,221.53006553068553,3.2741809263825417e-11,180.0831275999808,25.21190669484895,747.8527261571417,362.5446189730392,233.96811500740114,116.3381341047243,1312.0360741028526,1668.893048818667,1590.921599300038,1063.1891890906682,1652.9047280507239,1414.5374339183218,1259.8859469524414,1313.3996381110373,1870.6503090391252,1685.0942555482452,2034.243698776856,2214.187187213609,1941.2100266890757,1969.6179958237335,1619.0878246061202,2211.1184893149402,2215.59533383338,2907.914737006444,4583.229515221612
9.094947017729282e-12,3.637978807091713e-12,3.637978807091713e-12,-1.0913936421275139e-11,-3.637978807091713e-12,9.094947017729282e-12,-3.637978807091713e-12,154.00336473373318,336.4703831652987,-7.275957614183426e-12,33.71339575494676,760.1509199360935,263.4833194298644,520.6357246410662,794.6372553277033,903.7061540900122,1567.2603418543604,1238.7366365302441,907.9549946243769,922.9604979785508,1101.8310729341501,1260.0258388296697,1433.4580846409808,1674.0364266227825,1773.9390675225277,2080.241084242625,2041.4265082523834,2058.981568934927,1913.7679169533421,2136.4043136369874,2371.4915074186283,1937.3342714064893,2978.3168304729625,4446.483109189599
1.8189894035458565e-12,0.0,5.4569682106375694e-12,0.0,-7.275957614183426e-12,-1.8189894035458565e-12,1.8189894035458565e-12,149.45168719637513,340.67190291596853,548.3815248776009,322.53743358513566,721.8399142377948,36.28237229755359,1387.2323931439405,430.516136219685,858.2508710016918,948.6051999077208,1015.667049579235,1429.700545120424,1301.349881618864,1211.0329422250215,1065.1707950124946,1358.1611815925917,1338.7893434949874,1570.6146640848638,1815.62160215927,2045.5205523092409,1951.6440826456565,1858.0737121917773,1847.2564817793518,2218.945578663159,1130.4105862278066,3027.4452149556982,4353.720111107545
-1.8189894035458565e-12,-1.0913936421275139e-11,-1.8189894035458565e-12,0.0,7.275957614183426e-12,1.8189894035458565e-12,239.84502841831454,262.4747898218593,99.64584311466388,726.8159772213221,150.3481087318305,206.60198576221774,346.2396746188224,636.9570169244435,892.0761270179737,1215.2960207561282,1461.796526251308,882.7026781843233,1070.5223423381358,1528.8022297409807,1242.8800787953223,1263.5091883208534,1179.8272586736457,1912.4740040672696,1749.979263141333,1894.8805783706157,1925.645916412368,2169.8707478997203,2165.4140530245095,1616.3590121505385,2237.211863473116,2709.011049101615,2853.700881797966,4799.139708629424
-1.8189894035458565e-12,-3.637978807091713e-12,-1.8189894035458565e-12,-3.637978807091713e-12,-3.637978807091713e-12,-3.637978807091713e-12,1.4551915228366852e-11,3.637978807091713e-12,202.01754868604985,592.0302356036591,35.75337481070892,437.67774809929506,736.7560633172616,631.9274804954784,1059.8771716555038,448.6079052481182,1323.606816291871,722.0995317191573,1068.857359891981,685.0000901079184,1363.9133881965863,1221.318137698001,1365.72101277623,2051.856224211182,1737.245818742651,2163.2230822456695,1509.2065508059168,2003.6305616010122,2052.930580743445,2030.6813480095134,2432.537485587287,2052.0604915056065,2974.5251575579405,4686.794138060064
1.8189894035458565e-12,7.275957614183426e-12,5.4569682106375694e-12,1.4551915228366852e-11,-7.275957614183426e-12,1.8189894035458565e-12,0.0,89.08323940173796,-1.0913936421275139e-11,237.29929389548852,62.02275579513844,403.1698768162569,172.58231365449137,305.4259938055475,378.1599023819508,390.5910136985731,1325.020420165034,1067.5792479294432,1075.9415626101909,1277.923654424325,1108.3461155703626,1675.5857293030967,1464.696878935105,1555.511915396226,1625.3328981499944,1436.6842315353824,1507.111256367818,1948.3934514569773,2106.5044624747843,2427.9661416173367,1764.1727113709276,2393.797996926607,2883.792323245416,4495.035592128983
