0-2,1-2,0-1
-7.275957614183426e-12,767.8404545571884,2201.825014671973
0.0,397.57515042632076,2039.8849696978286
2.9103830456733704e-11,1490.709212189102,1849.5657700771335
50.16537318166229,1482.8750342216772,2136.7201358579405
2.9103830456733704e-11,1217.706248529319,2521.017884760964
3.637978807091713e-11,80.07953034725142,2028.8875818707747
7.275957614183426e-12,805.8673042665814,1609.7548610894664
2.1827872842550278e-11,815.5935778130588,2115.067117045015
-2.9103830456733704e-11,-7.275957614183426e-12,1941.9548612476792
1166.5710265771413,-1.4551915228366852e-11,2006.0297651215515
2.1827872842550278e-11,1429.55286313931,1831.1686799039526
-4.3655745685100555e-11,0.0,1724.9184903587884
473.6363664995588,1.4551915228366852e-11,1949.402334334074
468.46256936837017,784.9393597667786,1488.8091884541645
-5.093170329928398e-11,427.0138743651387,1950.123883658387
3.637978807091713e-11,1293.9093144084236,2064.594469847849
1.4551915228366852e-11,7.275957614183426e-12,2028.1337964449194
-2.1827872842550278e-11,-1.0913936421275139e-11,2085.7417574739957
226.44940397533355,3.637978807091713e-12,2105.4966879612766
7.275957614183426e-12,228.25087588496353,2033.1694978131127
-1.4551915228366852e-11,152.8764657302272,2019.1955240813622
-7.275957614183426e-12,0.0,2235.4769291092234
7.275957614183426e-12,170.20416553870564,2248.745009697661
-7.275957614183426e-12,359.8750452123568,2270.961632246661
97.32391692367673,1325.213735451698,2088.3277959282423
1.4551915228366852e-11,7.8184492903492355,2034.9665906066948
-7.275957614183426e-12,275.5137642378886,1816.3385099112493
1153.1335747873163,-3.637978807091713e-12,1971.3764090084806
-7.275957614183426e-12,826.9494916834883,1848.092254644951
-1.4551915228366852e-11,1252.8623656776217,2155.401862653307
-1.4551915228366852e-11,690.4871677840765,2092.976320799804
-7.275957614183426e-12,-3.637978807091713e-12,2139.294715085074
-2.9103830456733704e-11,303.0489371546155,2478.5600519925865
0.0,174.74610231673432,2200.722321132562
2.9103830456733704e-11,816.3084304073345,2499.1505446208394
309.6006817692178,1275.2024352401986,1520.5602835747995
2.1827872842550278e-11,481.3191978100822,2310.6429889799474
48.4721812933567,-3.637978807091713e-12,2064.5866097220496
265.12589443245815,489.5923775106821,1984.2409841685658
-2.9103830456733704e-11,560.9943467887806,2347.046631280944
1.4551915228366852e-11,480.15739641744585,2229.2999005445963
2.1827872842550278e-11,82.45007794843332,1534.1272578712087
-7.275957614183426e-12,914.2180326414036,2138.84911722361
1.4551915228366852e-11,3.637978807091713e-12,1703.4859690259182
2.1827872842550278e-11,523.674235322289,1889.2890860381813
1.4551915228366852e-11,1.9983047257119324,2228.280583866428
7.275957614183426e-12,436.55155689397725,1869.3042833920117
0.0,1080.8009406884194,1951.5047981131938
2.9103830456733704e-11,542.1086314531731,2077.8149930923537
5.093170329928398e-11,13.778438148892747,2104.9802546549763
1.4551915228366852e-11,0.0,2192.9555557063068
2.1827872842550278e-11,-7.275957614183426e-12,2193.7461532927846
387.5508354918129,1369.5438325960495,1778.6649495527236
